short;long
计算机科学;Computer Science
Int. J. 3 D Inf. Model.;International Journal of 3-D Information Modeling
4OR;4OR: Quarterly Journal of Operations Research
Adv. Artif. Intell. Mach. Learn.;Advances in Artificial Intelligence and Machine Learning
IEEE Access;IEEE Access
ACM SIGACCESS Access. Comput.;ACM SIGACCESS Accessibility and Computing
ACM Trans. Access. Comput.;ACM Transactions on Accessible Computing
Intell. Syst. Account. Finance Manag.;Intelligent Systems in Accounting, Finance and Management
Appl. Clin. Inform.;Applied Clinical Informatics
ACIS Int. J. Comput. Inf. Sci.;ACIS International Journal of Computer & Information Science
ACM Commun. Comput. Algebra;SIGSAM Bulletin
ACM Comput. Surv.;ACM Computing Surveys
Trans. Data Sci.;ACM/IMS Transactions on Data Science
Inroads;ACM Inroads
ACM J. Comput. Documentation;ACM Journal of Computer Documentation
ACM J. Exp. Algorithmics;ACM Journal of Experimental Algorithmics
ACM Journal on Computing and Cultural Heritage;ACM Journal on Computing and Cultural Heritage
ACM J. Emerg. Technol. Comput. Syst.;ACM Journal on Emerging Technologies in Computing Systems
ACM Lett. Program. Lang. Syst.;ACM Letters on Programming Languages and Systems
Proc. ACM Comput. Graph. Interact. Tech.;Proceedings of the ACM on Computer Graphics and Interactive Techniques
Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.;Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies
Proc. ACM Meas. Anal. Comput. Syst.;Proceedings of the ACM on Measurement and Analysis of Computing Systems
ACM Queue;ACM Queue
ACM SIGACCESS Access. Comput.;ACM SIGACCESS Accessibility and Computing
ACM SIGAPL APL Quote Quad;ACM SIGAPL APL Quote Quad
ACM SIGCHI Bull.;ACM SIGCHI Bulletin
Comput. Commun. Rev.;Computer Communication Review
ACM SIGCSE Bull.;ACM SIGCSE Bulletin
ACM SIGLOG News;ACM SIGLOG News
The Data Base for Advances in Information Systems – DATA BASE;The Data Base for Advances in Information Systems – DATA BASE
ACM SIGMOD Digital Review;ACM SIGMOD Digital Review
ACM SIGMOD Digital Symposium Collection;ACM SIGMOD Digital Symposium Collection
ACM SIGOPS Oper. Syst. Rev.;ACM SIGOPS: Operating Systems Review
ACM SIGPLAN Notices;ACM SIGPLAN Notices
ACM SIGPLAN OOPS Messenger;ACM SIGPLAN OOPS Messenger
ACM SIGSOFT Softw. Eng. Notes;ACM SIGSOFT Software Engineering Notes
ACM SIGSPATIAL Special;ACM SIGSPATIAL Special
ACM Stand.;ACM StandardView
ACM Trans. Access. Comput.;ACM Transactions on Accessible Computing
ACM Trans. Algorithms;ACM Transactions on Algorithms
